Modifier_ID,Modifer Name (orig),Description,Modifier Name,Cost,Take Multiple
1,Additional Recipients (+1),The power may affect more than one item for 1 additional Power Point each.,Additional Recipients,1,TRUE
2,Additional Recipients (+1),The power may affect more than one target for 1 additional Power Point each.,Additional Recipients,1,TRUE
3,Additional Recipients (+1),The power may affect more than one viewer for 1 additional Power Point each.,Additional Recipients,1,TRUE
4,Additional Recipients (+2),The power may affect more than one target for 2 additional Power Points each.,Additional Recipients,2,TRUE
5,Additional Recipients (+3),The power may affect more than one target for 3 additional Power Points each.,Additional Recipients,3,TRUE
6,Additional Zombies (+1),A larger horde can be raised in a single casting by paying an additional 1 Power Point for each extra zombie<i></i> raised.,Additional Zombies,1,TRUE
7,Area Effect (+0),"The caster can focus the <i>blast</i> to a Small Blast Template for no extra cost.",Area Effect,0,FALSE
8,Area Effect (+1),<i>Havoc</i> affects a Large Blast Template.,Area Effect,1,FALSE
9,Area Effect (+1),The caster can focus the <i>blast</i> to a Large Blast Template for +1.,Area Effect,1,FALSE
10,Area Of Effect (+1),The power affects everything in a sphere the size of a Medium Blast Template.. ,Area Of Effect,1,FALSE
11,Area Of Effect (+2),For +2 points the power affects everyone in a Medium Blast Template.,Area Of Effect,2,FALSE
12,Area Of Effect (+2),The power affects everything in a sphere the size of a Large Blast Template. ,Area Of Effect,2,FALSE
13,Area Of Effect (+3),For +3 points the area of effect is increased to a Large Blast Template.,Area Of Effect,3,FALSE
14,Armed (+1 Per Zombie),"The dead rise with a rusting weapon common to their setting and environment. Choose one:<br><ul><li>Hand Weapon: Str+d6.</li><li>Ranged Weapon: Range 12/24/48, Damage 2d6.</li></ul>",Armed,1,TRUE
15,Armor (+1 Per Zombie),"The horrors crawl from their grave wearing 2 points of Armor. This might be old chain mail, rusting plate, rotting bulletproof vests, etc.",Armor,1,TRUE
16,Audible History (+2),The caster can now hear sounds and conversations as well.,Audible History,2,FALSE
17,Beast Friend-Size 1 (+1),Control a creature from tiny (-4) to large human size (1) or a small swarm.,Beast Friend-Size 1,1,TRUE
18,Beast Friend-Size 2 (+2),Control a  size 2 creature or a medium swarm.,Beast Friend-Size 2,2,TRUE
19,Beast Friend-Size 3 (+3),Control a size 3 creature or a large swarm.,Beast Friend-Size 3,3,TRUE
20,Beast Friend-Size 4 (+4),Control a size 4 creature.,Beast Friend-Size 4,4,TRUE
